2026-04-07 10:25:03 | INFO     | ingest                    | === STAGE: ingest ===
2026-04-07 10:25:03 | INFO     | ingest                    | Loading data from data/raw/sales.csv
2026-04-07 10:25:03 | INFO     | ingest                    | Loaded shape: (5000, 7)
2026-04-07 10:25:03 | DEBUG    | ingest                    | Columns: ['date', 'store_id', 'product_id', 'sales', 'price', 'promotion', 'is_holiday']
2026-04-07 10:25:03 | INFO     | ingest                    | Running validation checks...
2026-04-07 10:25:03 | INFO     | ingest                    | ✓ No null values
2026-04-07 10:25:03 | INFO     | ingest                    | ✓ No duplicate rows
2026-04-07 10:25:03 | INFO     | ingest                    | ✓ No negative sales
2026-04-07 10:25:03 | INFO     | ingest                    | ✓ Data types enforced
2026-04-07 10:25:03 | INFO     | ingest                    | Final shape after validation: (5000, 7)
2026-04-07 10:25:03 | INFO     | ingest                    | Date range: 2022-01-01 → 2022-04-10
2026-04-07 10:25:03 | INFO     | ingest                    | Stores: [1, 2, 3, 4, 5]
2026-04-07 10:25:03 | INFO     | ingest                    | Products: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
2026-04-07 10:25:03 | INFO     | ingest                    | Sales — mean:118.2 std:54.2 max:340.0
2026-04-07 10:25:03 | INFO     | ingest                    | Saved validated data → data/interim/validated.csv
2026-04-07 10:25:03 | INFO     | ingest                    | Ingest stage complete ✓
2026-04-07 10:25:07 | INFO     | features                  | Logger 'features' initialised → logs/pipeline_20260407.log
2026-04-07 10:25:07 | INFO     | features                  | === STAGE: features ===
2026-04-07 10:25:07 | INFO     | features                  | Loaded 5000 rows for feature engineering
2026-04-07 10:25:07 | INFO     | features                  | Adding calendar features...
2026-04-07 10:25:07 | INFO     | features                  | ✓ Calendar: day_of_week, month, year, quarter, is_weekend
2026-04-07 10:25:07 | INFO     | features                  | Adding lag features for lags: [1, 7, 14]
2026-04-07 10:25:07 | DEBUG    | features                  |   Created lag_1 — nulls: 50
2026-04-07 10:25:07 | DEBUG    | features                  |   Created lag_7 — nulls: 350
2026-04-07 10:25:07 | DEBUG    | features                  |   Created lag_14 — nulls: 700
2026-04-07 10:25:07 | INFO     | features                  | Adding rolling features for windows: [7, 14]
2026-04-07 10:25:07 | DEBUG    | features                  |   Created rolling_mean_7, rolling_std_7
2026-04-07 10:25:07 | DEBUG    | features                  |   Created rolling_mean_14, rolling_std_14
2026-04-07 10:25:07 | INFO     | features                  | Dropped 700 rows with NaN (lag warm-up) → 4300 rows remain
2026-04-07 10:25:07 | INFO     | features                  | Scaling numerical columns: ['lag_1', 'lag_7', 'lag_14', 'rolling_mean_7', 'rolling_mean_14', 'rolling_std_7', 'rolling_std_14', 'price', 'day_of_week', 'month', 'year', 'quarter']
2026-04-07 10:25:07 | DEBUG    | features                  | Columns available for scaling: ['lag_1', 'lag_7', 'lag_14', 'rolling_mean_7', 'rolling_mean_14', 'rolling_std_7', 'rolling_std_14', 'price', 'day_of_week', 'month', 'year', 'quarter']
2026-04-07 10:25:07 | INFO     | features                  | ✓ Scaler saved → data/processed/scaler.pkl
2026-04-07 10:25:07 | INFO     | features                  | Saved features → data/processed/features.csv  shape:(4300, 19)
2026-04-07 10:25:07 | INFO     | features                  | Features stage complete ✓
2026-04-07 10:25:13 | INFO     | train                     | Logger 'train' initialised → logs/pipeline_20260407.log
2026-04-07 10:25:13 | INFO     | train                     | === STAGE: train (all 7 models) ===
2026-04-07 10:25:13 | INFO     | train                     | Loaded features: (4300, 19)
2026-04-07 10:25:13 | INFO     | train                     | Daily aggregated series: 86 days
2026-04-07 10:25:13 | INFO     | train                     | Training AR ...
2026-04-07 10:25:13 | DEBUG    | train                     |   AR lag=5 RMSE=385.68
2026-04-07 10:25:13 | DEBUG    | train                     |   AR lag=2 RMSE=528.95
2026-04-07 10:25:13 | DEBUG    | train                     |   AR lag=7 RMSE=354.33
2026-04-07 10:25:13 | DEBUG    | train                     |   AR lag=14 RMSE=227.91
2026-04-07 10:25:13 | DEBUG    | train                     |   AR lag=21 RMSE=188.97
2026-04-07 10:25:13 | INFO     | train                     |   AR best lag=21 test_RMSE=188.97
2026-04-07 10:25:13 | INFO     | train                     |   Saved model → models\ar.pkl
2026-04-07 10:25:13 | INFO     | train                     | Training ARIMA ...
2026-04-07 10:25:13 | DEBUG    | train                     |   [ARIMA] order=(3, 0, 0) seas=(0, 0, 0, 0) AIC=942.9
2026-04-07 10:25:13 | DEBUG    | train                     |   [ARIMA] order=(2, 0, 1) seas=(0, 0, 0, 0) AIC=973.0
2026-04-07 10:25:13 | DEBUG    | train                     |   [ARIMA] order=(0, 0, 1) seas=(0, 0, 0, 0) AIC=1253.3
2026-04-07 10:25:13 | DEBUG    | train                     |   [ARIMA] order=(2, 1, 0) seas=(0, 0, 0, 0) AIC=941.0
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMA] order=(3, 1, 2) seas=(0, 0, 0, 0) AIC=843.4
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMA] order=(0, 1, 0) seas=(0, 0, 0, 0) AIC=990.5
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMA] order=(1, 1, 1) seas=(0, 0, 0, 0) AIC=955.6
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMA] order=(0, 1, 2) seas=(0, 0, 0, 0) AIC=933.4
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMA] order=(2, 1, 2) seas=(0, 0, 0, 0) AIC=843.9
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMA] order=(0, 0, 2) seas=(0, 0, 0, 0) AIC=1181.2
2026-04-07 10:25:14 | INFO     | train                     |   [ARIMA] Best order=((3, 1, 2), (0, 0, 0, 0))  AIC=843.4
2026-04-07 10:25:14 | INFO     | train                     |   ARIMA test_RMSE=495.38
2026-04-07 10:25:14 | INFO     | train                     |   Saved model → models\arima.pkl
2026-04-07 10:25:14 | INFO     | train                     | Training ARIMAX ...
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(0, 0, 2) seas=(0, 0, 0, 0) AIC=946.8
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(2, 1, 2) seas=(0, 0, 0, 0) AIC=858.0
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(2, 0, 0) seas=(0, 0, 0, 0) AIC=950.6
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(1, 0, 1) seas=(0, 0, 0, 0) AIC=974.2
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(3, 1, 0) seas=(0, 0, 0, 0) AIC=892.9
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(1, 0, 2) seas=(0, 0, 0, 0) AIC=943.9
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(2, 0, 1) seas=(0, 0, 0, 0) AIC=950.0
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(2, 0, 2) seas=(0, 0, 0, 0) AIC=910.7
2026-04-07 10:25:14 | DEBUG    | train                     |   [ARIMAX] order=(0, 1, 1) seas=(0, 0, 0, 0) AIC=964.1
2026-04-07 10:25:15 | DEBUG    | train                     |   [ARIMAX] order=(3, 1, 1) seas=(0, 0, 0, 0) AIC=878.4
2026-04-07 10:25:15 | INFO     | train                     |   [ARIMAX] Best order=((2, 1, 2), (0, 0, 0, 0))  AIC=858.0
2026-04-07 10:25:15 | INFO     | train                     |   ARIMAX test_RMSE=470.07
2026-04-07 10:25:15 | INFO     | train                     |   Saved model → models\arimax.pkl
2026-04-07 10:25:15 | INFO     | train                     | Training SARIMA ...
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMA] order=(2, 1, 0) seas=(0, 1, 0, 7) AIC=791.0
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMA] order=(0, 0, 0) seas=(0, 0, 0, 7) AIC=1355.9
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMA] order=(0, 0, 1) seas=(0, 0, 0, 7) AIC=1253.3
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMA] order=(1, 1, 2) seas=(0, 1, 0, 7) AIC=779.2
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMA] order=(2, 1, 1) seas=(1, 0, 1, 7) AIC=767.7
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMA] order=(0, 1, 1) seas=(0, 1, 1, 7) AIC=674.6
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMA] order=(0, 1, 1) seas=(0, 0, 0, 7) AIC=956.7
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMA] order=(2, 0, 0) seas=(1, 0, 0, 7) AIC=802.3
2026-04-07 10:25:15 | INFO     | train                     |   [SARIMA] Best order=((0, 1, 1), (0, 1, 1, 7))  AIC=674.6
2026-04-07 10:25:15 | INFO     | train                     |   SARIMA test_RMSE=526.47
2026-04-07 10:25:15 | INFO     | train                     |   Saved model → models\sarima.pkl
2026-04-07 10:25:15 | INFO     | train                     | Training SARIMAX ...
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMAX] order=(1, 0, 1) seas=(0, 1, 1, 7) AIC=693.6
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMAX] order=(1, 1, 0) seas=(1, 1, 0, 7) AIC=708.8
2026-04-07 10:25:15 | DEBUG    | train                     |   [SARIMAX] order=(0, 0, 1) seas=(0, 1, 1, 7) AIC=740.4
